Annotation Cluster 1	EnrichmentScore:3.7513561485905296
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042110~T cell activation	9	8.256880733944955	2.772206731842796e-10	ENSG00000113263, ENSG00000198851, ENSG00000064012, ENSG00000116824, ENSG00000172575, ENSG00000071051, ENSG00000213658, ENSG00000173762, ENSG00000160654	99	54	19357	32.58754208754208	2.1983598375019398e-07	2.198359938351337e-07	2.176182284496595e-05
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	10	9.174311926605505	2.332054787440347e-08	ENSG00000182866, ENSG00000113263, ENSG00000198851, ENSG00000167286, ENSG00000172575, ENSG00000071051, ENSG00000213658, ENSG00000198821, ENSG00000010810, ENSG00000160654	56	104	8205	14.088255494505495	2.98502570139636e-06	2.985030127923644e-06	0.00028917479364260303
BIOCARTA	h_tcraPathway:Lck and Fyn tyrosine kinases in initiation of TCR Activation	6	5.5045871559633035	7.330404744950614e-08	ENSG00000182866, ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000010810, ENSG00000160654	21	11	1623	42.15584415584415	3.958410875526397e-06	3.958418562273331e-06	0.00036652023724753066
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	9	8.256880733944955	4.465123838818082e-07	ENSG00000182866, ENSG00000113263, ENSG00000186470, ENSG00000198851, ENSG00000141293, ENSG00000167286, ENSG00000198821, ENSG00000010810, ENSG00000160654	99	136	19357	12.939171122994653	0.00035402171895781986	0.00017704216020913695	0.01752561106736097
BIOCARTA	h_ctla4Pathway:The Co-Stimulatory Signal During T-cell Activation	6	5.5045871559633035	1.7336721407429554e-06	ENSG00000182866, ENSG00000113263, ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	21	19	1623	24.406015037593985	9.361399468810205e-05	4.6809147800059794e-05	0.004334180351857389
BIOCARTA	h_tcrmolecule:T Cell Receptor and CD3 Complex	4	3.669724770642202	6.361098614517355e-06	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	21	4	1623	77.28571428571428	0.0003434414281910936	7.36218209091626e-05	0.006816835269366908
GOTERM_BP_DIRECT	GO:0046631~alpha-beta T cell activation	4	3.669724770642202	6.918384503064221e-06	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	99	8	19357	97.76262626262627	0.005471275641576345	0.0018287596369766423	0.1810310611635138
BIOCARTA	h_tcytotoxicPathway:T Cytotoxic Cell Surface Molecules	5	4.587155963302752	7.81353475734469e-06	ENSG00000198851, ENSG00000167286, ENSG00000116824, ENSG00000198821, ENSG00000160654	21	12	1623	32.20238095238095	0.0004218435242794305	7.36218209091626e-05	0.006816835269366908
BIOCARTA	h_thelperPathway:T Helper Cell Surface Molecules	5	4.587155963302752	7.81353475734469e-06	ENSG00000198851, ENSG00000167286, ENSG00000116824, ENSG00000198821, ENSG00000160654	21	12	1623	32.20238095238095	0.0004218435242794305	7.36218209091626e-05	0.006816835269366908
BIOCARTA	h_tcrPathway:T Cell Receptor Signaling Pathway	7	6.422018348623854	8.180202323240289e-06	ENSG00000182866, ENSG00000198851, ENSG00000167286, ENSG00000213658, ENSG00000198821, ENSG00000010810, ENSG00000160654	21	44	1623	12.295454545454545	0.00044163518265272206	7.36218209091626e-05	0.006816835269366908
INTERPRO	IPR003110:Phosphorylated immunoreceptor signaling ITAM	4	3.669724770642202	1.0050828881894476e-05	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	97	9	19139	87.6930126002291	0.002449409859768048	0.002452402247182252	0.24524022471822518
SMART	SM00077:ITAM	4	3.669724770642202	1.2857458268188975e-05	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	66	8	10374	78.5909090909091	0.0010666066671682906	0.001067169036259685	0.10671690362596849
GOTERM_BP_DIRECT	GO:0046629~gamma-delta T cell activation	4	3.669724770642202	2.016049798569945e-05	ENSG00000113263, ENSG00000198851, ENSG00000198821, ENSG00000160654	99	11	19357	71.10009182736457	0.015860315350968435	0.003996818725664916	0.3956497729693517
BIOCARTA	h_il17Pathway:IL 17 Signaling Pathway	5	4.587155963302752	2.1038591501127942e-05	ENSG00000198851, ENSG00000167286, ENSG00000116824, ENSG00000198821, ENSG00000160654	21	15	1623	25.76190476190476	0.001135450779421343	0.00016229770586584412	0.01502756535794853
GOTERM_CC_DIRECT	GO:0042105~alpha-beta T cell receptor complex	4	3.669724770642202	2.5894629731503153e-05	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	104	12	20587	65.98397435897436	0.004830653139287877	0.0024211478798955447	0.23305166758352838
KEGG_PATHWAY	hsa05235:PD-L1 expression and PD-1 checkpoint pathway in cancer	7	6.422018348623854	2.6005422768862872e-05	ENSG00000182866, ENSG00000198851, ENSG00000167286, ENSG00000172575, ENSG00000213658, ENSG00000198821, ENSG00000160654	56	89	8205	11.52387640449438	0.0033232032931143074	0.0016643470572072238	0.1612336211669498
BIOCARTA	h_no2il12Pathway:NO2-dependent IL 12 Pathway in NK cells	5	4.587155963302752	3.610375829944654e-05	ENSG00000198851, ENSG00000167286, ENSG00000116824, ENSG00000198821, ENSG00000160654	21	17	1623	22.731092436974787	0.00194773883309185	0.00024370036852126414	0.02256484893715409
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	10	9.174311926605505	3.8398558843888294e-05	ENSG00000198851, ENSG00000167286, ENSG00000215788, ENSG00000116824, ENSG00000227507, ENSG00000198821, ENSG00000139193, ENSG00000069493, ENSG00000160654, ENSG00000196405	99	323	19357	6.053413390874691	0.029991691247670538	0.006090011432640683	0.6028573738490463
INTERPRO	IPR015484:CD3 protein, gamma/delta subunit	3	2.7522935779816518	7.445190446135813e-05	ENSG00000198851, ENSG00000167286, ENSG00000160654	97	3	19139	197.30927835051546	0.018002916880309305	0.009083132344285691	0.9083132344285691
KEGG_PATHWAY	hsa04659:Th17 cell differentiation	7	6.422018348623854	7.767822248907421e-05	ENSG00000182866, ENSG00000069667, ENSG00000198851, ENSG00000167286, ENSG00000213658, ENSG00000198821, ENSG00000160654	56	108	8205	9.496527777777779	0.009893928504946192	0.0033142708262004997	0.32106998628817346
BIOCARTA	h_cskPathway:Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor	5	4.587155963302752	0.00010663704859708166	ENSG00000182866, ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	21	22	1623	17.564935064935064	0.005742158101738393	0.0006398222915824899	0.059242804776156475
BIOCARTA	h_stathminPathway:Stathmin and breast cancer resistance to antimicrotubule agents	5	4.587155963302752	0.00015245683027584664	ENSG00000198851, ENSG00000167286, ENSG00000116824, ENSG00000198821, ENSG00000160654	21	24	1623	16.101190476190474	0.008199495704168336	0.0008232668834895719	0.07622841513792332
BIOCARTA	h_tcapoptosisPathway:HIV Induced T Cell Apoptosis	4	3.669724770642202	0.00018199804335433824	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	21	10	1623	30.914285714285715	0.009780644097750146	0.000893444940103115	0.08272638334288103
KEGG_PATHWAY	hsa04658:Th1 and Th2 cell differentiation	6	5.5045871559633035	0.0003551571129832517	ENSG00000182866, ENSG00000198851, ENSG00000167286, ENSG00000213658, ENSG00000198821, ENSG00000160654	56	92	8205	9.555512422360248	0.044449997197764435	0.011365027615464054	1.1009870502480803
GOTERM_CC_DIRECT	GO:0042106~gamma-delta T cell receptor complex	3	2.7522935779816518	0.00036700773348248344	ENSG00000198851, ENSG00000198821, ENSG00000160654	104	6	20587	98.97596153846155	0.06634010314426164	0.01869678741785015	1.7996907674935976
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	10	9.174311926605505	0.00045567992794377294	ENSG00000113263, ENSG00000013725, ENSG00000198851, ENSG00000141293, ENSG00000167286, ENSG00000213658, ENSG00000198821, ENSG00000173762, ENSG00000010810, ENSG00000160654	99	449	19357	4.354682684304065	0.30332519351022813	0.05162202612277314	5.110124906226597
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	7	6.422018348623854	0.00047611558909245715	ENSG00000198851, ENSG00000167286, ENSG00000187764, ENSG00000198821, ENSG00000139193, ENSG00000069493, ENSG00000160654	101	187	18913	7.009636257743422	0.09775164358422406	0.034280322414656915	3.4280322414656914
UP_KW_BIOLOGICAL_PROCESS	KW-1064~Adaptive immunity	11	10.091743119266056	0.0004942420107400681	ENSG00000113263, ENSG00000013725, ENSG00000186470, ENSG00000198851, ENSG00000141293, ENSG00000167286, ENSG00000213658, ENSG00000198821, ENSG00000173762, ENSG00000010810, ENSG00000160654	67	486	11248	3.799766599103249	0.021033308593921385	0.02125240646182293	2.125240646182293
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	6	5.5045871559633035	0.0004985268107200494	ENSG00000115232, ENSG00000198851, ENSG00000167286, ENSG00000116824, ENSG00000173762, ENSG00000160654	56	99	8205	8.87987012987013	0.06183303327858869	0.012762286354433265	1.2363464905857224
BIOCARTA	h_ctlPathway:CTL mediated immune response against target cells 	4	3.669724770642202	0.0005348913066653048	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	21	14	1623	22.081632653061224	0.028478479177404203	0.002407010879993872	0.22287137777721033
GOTERM_MF_DIRECT	GO:0030159~receptor signaling complex scaffold activity	4	3.669724770642202	0.0008301775328841211	ENSG00000198851, ENSG00000071051, ENSG00000213658, ENSG00000160654	101	35	18913	21.4008486562942	0.16422247635475762	0.044829586775742544	4.4829586775742545
UP_SEQ_FEATURE	DOMAIN:ITAM	3	2.7522935779816518	0.0011153168751506	ENSG00000198851, ENSG00000167286, ENSG00000160654	105	10	20516	58.61714285714286	0.5890992694545649	0.3100016550902365	31.000165509023653
GOTERM_BP_DIRECT	GO:0045059~positive thymic T cell selection	3	2.7522935779816518	0.0013545045554860758	ENSG00000198851, ENSG00000167286, ENSG00000160654	99	11	19357	53.325068870523424	0.6586511218752866	0.12768982144430124	12.640165174498927
BIOCARTA	h_tob1Pathway:Role of Tob in T-cell activation	4	3.669724770642202	0.0013688015659289881	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	21	19	1623	16.270676691729324	0.07129665504787486	0.00568579112001272	0.5264621407419184
GOTERM_MF_DIRECT	GO:0042608~T cell receptor binding	3	2.7522935779816518	0.0014756878023045315	ENSG00000182866, ENSG00000198851, ENSG00000160654	101	11	18913	51.07020702070207	0.2731128086809276	0.06374971305955576	6.374971305955576
BIOCARTA	h_il12Pathway:IL12 and Stat4 Dependent Signaling Pathway in Th1 Development	4	3.669724770642202	0.00184931481998605	ENSG00000198851, ENSG00000167286, ENSG00000198821, ENSG00000160654	21	21	1623	14.721088435374147	0.09512227358435832	0.007133071448517622	0.6604695785664465
UP_KW_BIOLOGICAL_PROCESS	KW-0391~Immunity	14	12.844036697247708	0.0022911564413228454	ENSG00000172183, ENSG00000134954, ENSG00000123240, ENSG00000198851, ENSG00000213658, ENSG00000198821, ENSG00000173762, ENSG00000113263, ENSG00000013725, ENSG00000186470, ENSG00000141293, ENSG00000167286, ENSG00000010810, ENSG00000160654	67	918	11248	2.56027054271128	0.09392460749595577	0.032839908992294116	3.2839908992294116
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	9	8.256880733944955	0.0028353206611082893	ENSG00000115232, ENSG00000013725, ENSG00000186470, ENSG00000198851, ENSG00000167286, ENSG00000116824, ENSG00000139193, ENSG00000069493, ENSG00000160654	104	480	20587	3.7115985576923074	0.4119586662021757	0.06627562045340626	6.379471487493651
KEGG_PATHWAY	hsa05142:Chagas disease	5	4.587155963302752	0.004724151606170386	ENSG00000198851, ENSG00000064012, ENSG00000167286, ENSG00000198821, ENSG00000160654	56	102	8205	7.182247899159664	0.45453915089695285	0.10078190093163489	9.76324665275213
KEGG_PATHWAY	hsa05170:Human immunodeficiency virus 1 infection	6	5.5045871559633035	0.013406722902239418	ENSG00000198851, ENSG00000064012, ENSG00000167286, ENSG00000198821, ENSG00000149311, ENSG00000160654	56	212	8205	4.146731805929919	0.8223016386946422	0.2451515044980922	23.749051998252686
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	6	5.5045871559633035	0.016088946284476286	ENSG00000182866, ENSG00000134954, ENSG00000198851, ENSG00000167286, ENSG00000149311, ENSG00000160654	56	222	8205	3.9599420849420848	0.8745855791229928	0.2574231405516206	24.937866740938244
KEGG_PATHWAY	hsa05340:Primary immunodeficiency	3	2.7522935779816518	0.026586384853501135	ENSG00000182866, ENSG00000198851, ENSG00000167286	56	38	8205	11.567199248120302	0.9682261893420185	0.37811747347201613	36.63013024260157
GOTERM_CC_DIRECT	GO:0042101~T cell receptor complex	4	3.669724770642202	0.035086167619967495	ENSG00000198851, ENSG00000141293, ENSG00000167286, ENSG00000198821	104	143	20587	5.537116729424422	0.9987429414000674	0.5047010265333786	48.58084747380115
GOTERM_BP_DIRECT	GO:0065003~macromolecular complex assembly	4	3.669724770642202	0.03739121361466546	ENSG00000198851, ENSG00000198821, ENSG00000160654, ENSG00000118058	99	145	19357	5.393800069662139	0.9999999999999248	0.8985221938312032	88.94576571973451
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	5	4.587155963302752	0.045901218934812346	ENSG00000198851, ENSG00000064012, ENSG00000167286, ENSG00000198821, ENSG00000160654	56	202	8205	3.6266796322489396	0.9975568639694373	0.4896130019713317	47.43125956597276
KEGG_PATHWAY	hsa04650:Natural killer cell mediated cytotoxicity	4	3.669724770642202	0.05207697136804657	ENSG00000182866, ENSG00000213658, ENSG00000198821, ENSG00000010810	56	126	8205	4.651360544217687	0.9989359709667653	0.5127578719315355	49.6734188433675
KEGG_PATHWAY	hsa05162:Measles	4	3.669724770642202	0.06599729036808641	ENSG00000198851, ENSG00000064012, ENSG00000167286, ENSG00000160654	56	139	8205	4.216341212744091	0.9998398372825653	0.6034037976510757	58.454742897447964
INTERPRO	IPR013783:Immunoglobulin-like fold	9	8.256880733944955	0.19171420770041853	ENSG00000186470, ENSG00000198851, ENSG00000153283, ENSG00000167286, ENSG00000116824, ENSG00000170571, ENSG00000187764, ENSG00000173762, ENSG00000160654	97	1108	19139	1.6026926941828874	1.0	1.0	100.0
Annotation Cluster 2	EnrichmentScore:3.3950542948404983
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
