Annotation Cluster 1	EnrichmentScore:3.0582680179133934
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030183~B cell differentiation	5	7.8125	0.00012432957548684956	ENSG00000071564, ENSG00000105369, ENSG00000076554, ENSG00000156738, ENSG00000007312	56	90	19357	19.203373015873016	0.04246568405467788	0.025305442035999912	2.5232933606097334
GOTERM_BP_DIRECT	GO:0042113~B cell activation	4	6.25	0.0001450168598051571	ENSG00000105369, ENSG00000153064, ENSG00000156738, ENSG00000012124	56	36	19357	38.40674603174603	0.049354977890792684	0.025305442035999912	2.5232933606097334
GOTERM_BP_DIRECT	GO:0050853~B cell receptor signaling pathway	5	7.8125	0.0006023212136822458	ENSG00000105369, ENSG00000153064, ENSG00000081189, ENSG00000156738, ENSG00000007312	56	136	19357	12.70811449579832	0.1896373666517409	0.06065420272968163	6.048040845251921
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	5	7.8125	0.053840219481513706	ENSG00000159958, ENSG00000105369, ENSG00000156738, ENSG00000007312, ENSG00000012124	62	480	20587	3.4588373655913975	0.9962639490608137	1.0	100.0
Annotation Cluster 2	EnrichmentScore:1.202309928479534
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	6	9.375	0.00024726200742387016	ENSG00000083454, ENSG00000105369, ENSG00000132185, ENSG00000137101, ENSG00000007312, ENSG00000162894	58	187	18913	10.462659044809145	0.03019890007321724	0.0306604889205599	3.06604889205599
KEGG_PATHWAY	hsa04662:B cell receptor signaling pathway	4	6.25	0.0029148868033773787	ENSG00000105369, ENSG00000137101, ENSG00000007312, ENSG00000012124	30	82	8205	13.341463414634145	0.24659843454518893	0.2405123380807339	24.05123380807339
INTERPRO	IPR003599:Immunoglobulin subtype	6	9.375	0.01998424136905182	ENSG00000105369, ENSG00000132185, ENSG00000128218, ENSG00000007312, ENSG00000012124, ENSG00000162894	59	517	19139	3.7646788840441925	0.9485648866185659	1.0	100.0
SMART	SM00409:IG	6	9.375	0.0471339762262948	ENSG00000105369, ENSG00000132185, ENSG00000128218, ENSG00000007312, ENSG00000012124, ENSG00000162894	41	517	10374	2.93645327168939	0.9226095081351419	1.0	100.0
UP_SEQ_FEATURE	DOMAIN:Ig-like	6	9.375	0.04818732011974421	ENSG00000105369, ENSG00000132185, ENSG00000204252, ENSG00000128218, ENSG00000012124, ENSG00000162894	62	668	20516	2.9721846629321997	0.9999997756321173	1.0	100.0
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	5	7.8125	0.053840219481513706	ENSG00000159958, ENSG00000105369, ENSG00000156738, ENSG00000007312, ENSG00000012124	62	480	20587	3.4588373655913975	0.9962639490608137	1.0	100.0
INTERPRO	IPR007110:Immunoglobulin-like domain	6	9.375	0.08080802595327051	ENSG00000105369, ENSG00000132185, ENSG00000204252, ENSG00000128218, ENSG00000007312, ENSG00000012124	59	763	19139	2.550902992202946	0.99999582443859	1.0	100.0
UP_KW_DOMAIN	KW-0393~Immunoglobulin domain	6	9.375	0.08207322139006333	ENSG00000105369, ENSG00000132185, ENSG00000128218, ENSG00000007312, ENSG00000012124, ENSG00000162894	46	752	14500	2.515032377428307	0.7459444803347354	0.8148869501809237	81.48869501809237
UP_KW_BIOLOGICAL_PROCESS	KW-0391~Immunity	6	9.375	0.08283221321070842	ENSG00000159958, ENSG00000105369, ENSG00000163568, ENSG00000204252, ENSG00000007312, ENSG00000162894	30	918	11248	2.4505446623093685	0.8943988583300437	0.4307275086956838	41.416106605354216
INTERPRO	IPR013783:Immunoglobulin-like fold	7	10.9375	0.11770704242543187	ENSG00000105369, ENSG00000132185, ENSG00000204252, ENSG00000128218, ENSG00000007312, ENSG00000012124, ENSG00000162894	59	1108	19139	2.04939423606437	0.999999989882261	1.0	100.0
UP_KW_BIOLOGICAL_PROCESS	KW-1064~Adaptive immunity	4	6.25	0.12819255622168085	ENSG00000159958, ENSG00000105369, ENSG00000204252, ENSG00000007312	30	486	11248	3.0858710562414267	0.971755434769991	0.555501076960617	53.41356509236702
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	4	6.25	0.1351452928144897	ENSG00000159958, ENSG00000105369, ENSG00000204252, ENSG00000007312	56	449	19357	3.0793827553293034	1.0	1.0	100.0
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	13	20.3125	0.15343584592257917	ENSG00000104894, ENSG00000159958, ENSG00000105369, ENSG00000042980, ENSG00000204252, ENSG00000156738, ENSG00000137101, ENSG00000007312, ENSG00000170006, ENSG00000083454, ENSG00000121895, ENSG00000012124, ENSG00000162894	62	2931	20516	1.4676703976403518	1.0	1.0	100.0
