Annotation Cluster 1	EnrichmentScore:113.9967830234309
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	64	88.88888888888889	1.3491502325397928e-150	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	72	90	19357	191.18024691358022	3.38636708367488e-148	3.38636708367488e-148	3.224469055770105e-146
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	59	81.94444444444444	1.1880852137288417e-141	ENSG00000108107, ENSG00000142937, ENSG00000110700, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	72	76	20587	221.9724049707602	9.267064667084965e-140	9.267064667084965e-140	7.12851128237305e-138
GOTERM_BP_DIRECT	GO:0006412~translation	65	90.27777777777779	2.6326736461932937e-120	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000156508, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	72	221	19357	79.07271241830065	6.608010851945167e-118	3.3040054259725835e-118	3.146045007200986e-116
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	63	87.5	1.3471654765072694e-118	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	72	190	18913	87.09934210526315	1.2393922383866878e-116	1.2393922383866878e-116	1.1181473455010336e-114
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	64	88.88888888888889	5.173379984294508e-111	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	69	193	11735	56.39708643087783	7.760069976441762e-110	7.760069976441762e-110	6.72539397958286e-108
KEGG_PATHWAY	hsa03010:Ribosome	63	87.5	2.1185929743130317e-104	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	68	166	8205	45.79332034018427	5.508341733213883e-103	5.508341733213883e-103	5.508341733213883e-101
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	65	90.27777777777779	3.2045315804500717e-99	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000135486, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	69	306	11735	36.126503741593254	4.806797370675108e-98	2.403398685337554e-98	2.0829455272925464e-96
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	63	87.5	1.332347467956933e-93	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000115268, ENSG00000168028, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000108298, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000112306, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000124614, ENSG00000156482, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000148303, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	68	232	8205	32.76591024340771	3.464103416688026e-92	1.732051708344013e-92	1.732051708344013e-90
GOTERM_CC_DIRECT	GO:0005840~ribosome	52	72.22222222222221	4.018120454906342e-93	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000171863, ENSG00000142541, ENSG00000163682, ENSG00000171858, ENSG00000105193, ENSG00000167526, ENSG00000115268, ENSG00000233927, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000143947, ENSG00000162244, ENSG00000164587, ENSG00000122026, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000145592, ENSG00000134419, ENSG00000197756, ENSG00000130255, ENSG00000229117, ENSG00000124614, ENSG00000140988, ENSG00000186468, ENSG00000063177, ENSG00000172809, ENSG00000105372, ENSG00000188846, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000083845, ENSG00000198755, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000161016, ENSG00000105640	72	171	20587	86.94964262508121	3.1341339548269466e-91	1.5670669774134733e-91	1.2054361364719026e-89
